data,patrimonio_gerida,patrimonio_funcef,patrimonio_total,patrimonio_rv,fluxo_gerida,fluxo_funcef,fluxo_total,fluxo_rv,twr_gerida,twr_total,twr_rv,cdi_acum,ipca_acum,ibov_acum,sp500_brl_acum,nasdaq_brl_acum,ouro_brl_acum,drawdown
2026-04-08,115945.46856683146,1230468.3053658362,1346413.7739326677,40124.11266708374,0.0,0.0,0.0,0.0,0.4423503008469374,0.056447992207961706,0.18235730732073674,0.03692064197791711,0.006699999999999928,0.1972231046661559,-0.07671194082620703,-0.0776354722107594,0.019207878137228462,0.0
2026-04-09,116686.19559135791,1230468.3053658362,1347154.5009571943,40736.25414657593,0.0,0.0,0.0,0.0,0.4515648726614052,0.05702919509891968,0.2003955866316578,0.03748333733349285,0.006699999999999928,0.2154616635210136,-0.08010555690223797,-0.0800990192627895,0.016942245575830794,0.0
2026-04-10,116969.7540736986,1230468.3053658362,1347438.0594395348,41097.39450836182,0.0,0.0,0.0,0.0,0.45509231247744286,0.05725168598184305,0.21103749039832453,0.038046338041330285,0.006699999999999928,0.22913435364615453,-0.08194562149965312,-0.07963761791818169,0.014252851323030669,0.0
2026-04-13,113747.684826952,1230468.3053658362,1344215.9901927882,37910.44987487793,0.0,0.0,0.0,-3364.0,0.4150100858510881,0.05472352662074398,0.21672000821897064,0.03860964426713176,0.006699999999999928,0.2333513974797401,-0.08913082600086719,-0.08641383719135387,-0.007712722851899723,-0.027546174412886988
2026-04-14,113932.1783084741,1230468.3053658362,1344400.4836743104,37863.471267700195,0.0,0.0,0.0,0.0,0.41730516673580875,0.05486828729677318,0.21521224950072648,0.039173256176689764,0.006699999999999928,0.23743763197727663,-0.08035003680273423,-0.07188971161101465,0.012051725555585202,-0.025968899304606746
2026-04-15,116648.08386863284,1230468.3053658362,1347116.389234469,40631.54745864868,0.0,0.0,0.0,3330.0,0.45109076655430336,0.056999291176565325,0.19863543101393555,0.039737173935886716,0.006699999999999928,0.23171316627112426,-0.07479694470287213,-0.06067675091589886,-0.00030712022446721665,-0.002750028908012314
2026-04-16,116230.58305862892,1230468.3053658362,1346698.8884244652,40235.24952507019,0.0,0.0,0.0,0.0,0.44589709726859184,0.0566717039957052,0.18694459534226393,0.04030139771069474,0.006699999999999928,0.22598870056497167,-0.07096786988075221,-0.054634238801552604,0.00032956861568789186,-0.006319334608534343
2026-04-17,121147.46948015009,1230468.3053658362,1351615.7748459864,44949.13910484314,1407.5900000000001,0.0,1407.5900000000001,4471.0,0.4890300478866165,0.059422357811929505,0.193393279296725,0.04086592766717656,0.006699999999999928,0.2192302182024306,-0.06078193495016426,-0.043467049335493946,0.0123437399575268,0.0
2026-04-20,121081.23877691338,1230468.3053658362,1351549.5441427496,45000.77262496948,0.0,0.0,0.0,0.0,0.4882160027593405,0.05937044491694232,0.19476414194576241,0.041430763971484375,0.006699999999999928,0.22170936657136275,-0.059402787695990944,-0.042737827978424625,0.007676269457717266,-0.0005466948960709548
2026-04-21,121081.23877691338,1230468.3053658362,1351549.5441427496,45000.77262496948,0.0,0.0,0.0,0.0,0.4882160027593405,0.05937044491694232,0.19476414194576241,0.041430763971484375,0.006699999999999928,0.22170936657136275,-0.0754364504506867,-0.05699244166645845,-0.031018316254358802,-0.0005466948960709548
